2025-04-13 15:31:44.081335+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBeginQueryEXT in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBeginQueryEXT): symbol not found
2025-04-13 15:31:44.081389+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindBuffersBase in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindBuffersBase): symbol not found
2025-04-13 15:31:44.081403+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindBuffersRange in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindBuffersRange): symbol not found
2025-04-13 15:31:44.081435+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindImageTexture in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindImageTexture): symbol not found
2025-04-13 15:31:44.081449+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindImageTextures in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindImageTextures): symbol not found
2025-04-13 15:31:44.081479+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindSamplers in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindSamplers): symbol not found
2025-04-13 15:31:44.081497+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindTextureUnit in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindTextureUnit): symbol not found
2025-04-13 15:31:44.081508+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindTextures in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindTextures): symbol not found
2025-04-13 15:31:44.081536+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindVertexArrayOES in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindVertexArrayOES): symbol not found
2025-04-13 15:31:44.081548+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindVertexBuffer in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindVertexBuffer): symbol not found
2025-04-13 15:31:44.081560+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBindVertexBuffers in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBindVertexBuffers): symbol not found
2025-04-13 15:31:44.081570+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glBlendBarrier in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glBlendBarrier): symbol not found
